id,title,album,year,genre,youtubeMusic,lyrics,createdAt,updatedAt
CAN-001,"Manuel Santillán, el León",El Leon,1992,Reggae,https://music.youtube.com/watch?v=3iMg1D-eFXM,,2025-09-10,2025-10-19
CAN-002,El Infierno Está Encantador Esta Noche,Gulp!,1985,Rock Nacional,https://music.youtube.com/watch?v=tXzkP1FbdRw,,2025-09-10,2025-10-19
CAN-003,Estás Frito Angelito,Ultimo bondi a Finisterre,1998,Rock Nacional,https://music.youtube.com/watch?v=k9FokVjN2wg,,2025-09-25,2025-10-19
CAN-004,Esperando el Impacto,Test Testosterona,2005,Pop,https://music.youtube.com/watch?v=nl2_vPev5ig,,2025-09-25,2025-10-19
