:START_ID,:END_ID,createdAt,status
j12fdsh6f,c1pyuqnip,2025-10-19T00:00:00.000Z,CONFIRMED
j142bvdhe,c2pfcm1dh,,
j14am0rqk,c2a8bze2t,,
j15pq9li1,c2krubxbm,,
j19f8dhtg,c1ip5glun,,
j1anqw115,c1o9kaya5,,
j1gc3vdws,co1z6wxpb,,
j1gt3d6d3,c27jzw2f9,,
j1mvf6htv,cubspd2lh,2025-10-19T00:00:00.000Z,CONFIRMED
j1ybh07sl,c1m53rgrg,,
j1yvs1izu,c92xpioah,,
j204wz6nw,c2ivbsmdz,,
j228pm3uh,c1b5ti86b,,
j2472p8fr,c1uua8142,,
j28nwqyzo,c2lgbes4s,2025-10-19T00:00:00.000Z,DRAFT
j28uvuzh8,clz30wskt,2025-10-19T00:00:00.000Z,DRAFT
j29ejr960,cg0i7utzn,,
j29g1hi7n,c1iw605tv,,
j2i6jzom2,cq8eiohvu,,
j2iw1o9gl,c1kotwhd2,,
j2q4rscer,c16ltomy4,,
j355hbbnu,c2ppaoj9q,,CONFIRMED
j846ma9g5,c1ju79w77,,
j95ixwnum,c2nqwmhxp,,
jc848lelo,c1fqz1pnw,,
jgxej3kih,cf9orfliz,,
jhvcqfy6i,c1i50dgbx,,
jl9yy8k9s,c1nn2vm4r,,
jof56g6vj,c1919phir,,
jvfgq2z9f,c1wfhml59,,CONFIRMED
jyebp014e,c2klrfcch,,
jyzjddkg7,c2idg5x12,,DRAFT
