id:ID,title,date,youtubeUrl,status,createdAt,updatedAt
0hmxZPp0xq0,Quisiera ser de Glew,2025-06-04T23:00:00.000Z,https://www.youtube.com/watch?v=0hmxZPp0xq0,TBC,2025-06-05T00:00:00.000Z,2025-11-14T01:15:45.000Z
2LbnV-Wss4g,DIJO FEINMANN,2025-06-11T23:00:00.000Z,https://www.youtube.com/watch?v=2LbnV-Wss4g,,2025-11-15T11:12:19.000Z,2025-11-16T23:01:44.000Z
7JJuJ59DxUw,Quiero ser Sherlock Holmes,13/11/2025,https://www.youtube.com/watch?v=7JJuJ59DxUw,,2025-11-14T11:54:23.000Z,2025-11-15T00:48:51.000Z
DBbyI99TtIM,HOLA QUE TAL SOY DONALD TRUMP,2025-10-23T22:26:41.000Z,https://www.youtube.com/watch?v=DBbyI99TtIM,DRAFT,2025-10-22T14:39:36.000Z,2025-11-17T15:28:03.000Z
DLe3hojAro0,ESPECIAL DIEGO MARADONA,2025-10-30T00:00:00.000Z,https://www.youtube.com/watch?v=DLe3hojAro0,,2025-11-15T11:25:04.000Z,2025-11-17T13:46:52.000Z
t4xLg702Yn0,LA PRIMERA FÁBRICA DE JINGLES,26/06/2023,,,2025-11-15T10:03:38.000Z,2025-11-15T10:03:38.000Z
