id,name,category,description,createdAt,updatedAt
TEM-001,Juliana Santillan,GENTE,,,
TEM-002,Cloacas en PBA,ACTUALIDAD,,,
TEM-003,Ian Moche,GENTE,,,
TEM-004,Peaje,ACTUALIDAD,,,
TEM-005,Futbol,CULTURA,,,
TEM-006,Angel Di Maria,GENTE,,,
TEM-007,Actualidad,ACTUALIDAD,,,
