:START_ID,:END_ID,status,createdAt
ART-004,JIN-0001,CONFIRMED,2025-10-19
ART-005,JIN-0002,DRAFT,2025-10-19
ART-006,JIN-0002,CONFIRMED,2025-10-19
ART-007,JIN-0003,CONFIRMED,2025-10-19
ART-008,JIN-0004,CONFIRMED,2025-10-19
